Word,Level,POS,Meaning,Example_EN,Example_KR
Plausible,C1,adj.,"그럴듯한, 타당해 보이는",That seems like a plausible explanation.,그것은 그럴듯한 설명처럼 들린다.
Pragmatic,C1,adj.,실용적인,We need a pragmatic approach to this problem.,우리는 이 문제에 대해 실용적인 접근이 필요하다.
Precise,B1,adj.,정확한,We need precise measurements for the project.,우리는 프로젝트를 위해 정확한 치수가 필요하다.
Prepare,A2,v.,준비하다,We need to prepare for the exam.,우리는 시험을 준비해야 한다.
Prevalent,C1,adj.,"널리 퍼진, 일반적인",This custom is prevalent in many Asian countries.,이 관습은 많은 아시아 국가에 널리 퍼져 있다.
Prosperity,C1,n.,번영,We wish you peace and prosperity.,당신의 평화와 번영을 빕니다.
Public,A2,adj.,공공의,The library is open to the public.,도서관은 일반 대중에게 개방되어 있다.
Purchase,A2,v.,구매하다,I would like to purchase this book.,이 책을 구매하고 싶습니다.
Rational,B2,adj.,"합리적인, 이성적인",We need to make a rational decision.,우리는 이성적인 결정을 내려야 한다.
Recommend,B1,v.,추천하다,Can you recommend a good restaurant?,좋은 식당을 추천해 주시겠어요?
Reduce,A2,v.,줄이다,We need to reduce plastic waste.,우리는 플라스틱 쓰레기를 줄여야 한다.
Reinforce,B2,v.,강화하다,The success reinforced his confidence.,그 성공은 그의 자신감을 강화했다.
Relevant,B2,adj.,"관련된, 유의미한",Please provide all the relevant documents.,모든 관련 서류를 제출해 주세요.
Reliable,B1,adj.,신뢰할 수 있는,She is a very reliable person.,그녀는 매우 신뢰할 수 있는 사람이다.
Reluctant,B2,adj.,"꺼리는, 주저하는",He was reluctant to share his secret.,그는 비밀을 말하기를 꺼려했다.
Resilient,C1,adj.,"회복력 있는, 탄력 있는",The local economy is remarkably resilient.,지역 경제는 놀라울 정도로 회복력이 있다.
Significant,B2,adj.,"중요한, 상당한",There is a significant difference between the two.,그 둘 사이에는 상당한 차이가 있습니다.
Simple,A1,adj.,단순한,The answer is very simple.,답은 매우 간단하다.
Simultaneous,C1,adj.,동시의,The show was broadcast with simultaneous translation.,그 방송은 동시통역과 함께 송출되었습니다.
Skepticism,C1,n.,"회의론, 의심",His story was met with deep skepticism.,그의 이야기는 깊은 회의감에 직면했다.
Sophisticated,B2,adj.,세련된,She is a very sophisticated woman.,그녀는 매우 세련된 여성이다.
Sophisticated,C1,adj.,"정교한, 복잡한",The new system is much more sophisticated.,새로운 시스템은 훨씬 더 정교하다.
Speculate,B2,v.,추측하다,Analysts speculate that the economy will grow.,분석가들은 경제가 성장할 것이라고 추측한다.
Speculate,C1,v.,투기하다,He lost a lot of money speculating on the stock market.,그는 주식 시장에 투기하다가 많은 돈을 잃었다.
Spontaneous,C1,adj.,"자발적인, 즉흥적인",The audience gave a spontaneous applause.,청중은 자발적인 박수를 보냈다.
Standard,A2,n.,"기준, 표준",We have high safety standards.,우리는 높은 안전 기준을 가지고 있다.
Substantial,B2,adj.,"상당한, 실질적인",The project required a substantial amount of money.,그 프로젝트는 상당한 양의 자금을 필요로 했다.
Substitute,B2,v.,대체하다,You can substitute honey for sugar.,설탕 대신 꿀을 사용할 수 있습니다.
Subtle,C1,adj.,"미묘한, 섬세한",There is a subtle difference between the two colors.,두 색상 사이에는 미묘한 차이가 있다.
Sufficient,B2,adj.,충분한,Do we have sufficient evidence to prove it?,그것을 증명할 충분한 증거가 있나요?
Superficial,C1,adj.,"피상적인, 깊이 없는",He has only a superficial knowledge of the subject.,그는 그 주제에 대해 피상적인 지식만 가지고 있다.
Support,A2,v.,지지하다,I will support your decision.,나는 네 결정을 지지할 거야.
Susceptible,C1,adj.,"영향을 받기 쉬운, 민감한",Plants are extremely susceptible to frost.,식물은 서리에 매우 취약하다.
Synthesize,C1,v.,"종합하다, 합성하다",You need to synthesize information from various sources.,다양한 출처의 정보를 종합해야 합니다.
Tangible,C1,adj.,"실질적인, 만질 수 있는",The company expects tangible results from the research.,회사는 연구로부터 실질적인 결과를 기대한다.
Tolerate,B2,v.,"용인하다, 참다",We will not tolerate any form of discrimination.,우리는 어떤 형태의 차별도 용인하지 않을 것입니다.
Transformation,B2,n.,"변화, 탈바꿈",The town has undergone a complete transformation.,그 마을은 완전히 탈바꿈했다.
Unprecedented,C1,adj.,전례 없는,The world is facing an unprecedented crisis.,세계는 전례 없는 위기에 직면해 있다.
Vague,C1,adj.,"희미한, 막연한",I have only a vague memory of that day.,나는 그날에 대해 막연한 기억만 가지고 있다.
Valid,B2,adj.,"유효한, 타당한",Your passport must be valid for at least six months.,여권은 최소 6개월 이상 유효해야 합니다.
Vulnerable,B2,adj.,취약한,Small businesses are vulnerable to economic changes.,소규모 기업들은 경제 변화에 취약하다.
Warrant,C1,v.,보증하다,The situation does not warrant such drastic action.,상황이 그런 극단적인 조치를 정당화(보증)하지는 않는다.
